Time,DisTankPress,HeadCylPress,CrankCylPress
0.16415,38.63483149,12.71354985,55.91342129
0.1642,38.70018358,12.72379716,55.97079994
0.16425,38.66750754,12.73199501,55.8703873
0.1643,38.713254,12.7709348,55.88063349
0.16435,38.68057795,12.80987459,55.84784569
0.1644,38.66750754,12.84266599,55.8867812
0.16445,38.70671879,12.93899073,55.88883044
0.1645,38.62176107,12.90824879,55.93801214
0.16455,38.713254,12.90005094,55.98309536
0.1646,38.67404275,12.94308965,56.00358774
0.16465,38.67404275,12.87545739,55.9687507
0.1647,38.66097233,12.82422083,55.91547053
0.16475,38.62176107,12.8037262,55.86833806
0.1648,38.62176107,12.85906169,55.83964874
0.16485,38.67404275,12.79962728,55.81915636
0.1649,38.69364837,12.78118211,55.92776595
0.16495,38.64790191,12.83241868,55.99539079
0.165,38.63483149,12.82422083,55.98309536
0.16505,38.62176107,12.63157135,55.97489841
0.1651,38.60869065,12.93899073,55.94825833
0.16515,38.5694794,12.82422083,55.86423959
0.1652,38.68057795,12.85701223,55.8375995
0.16525,38.54987377,12.78323158,55.79866399
0.1653,38.54333856,12.81807244,55.78431933
0.16535,38.57601461,12.90824879,55.79251628
0.1654,38.59562024,12.83036921,55.71464525
0.16545,38.57601461,12.76683588,55.7392361
0.1655,38.56294419,12.86725954,55.86833806
0.16555,38.51719773,12.84881438,55.72079296
0.1656,38.51066252,12.86725954,55.71259601
0.16565,38.50412731,12.89390255,55.71874373
0.1657,38.49105689,12.88160578,55.71464525
0.16575,38.47798647,12.9840789,55.71874373
0.1658,38.4257048,13.0168703,55.73513763
0.16585,38.43224001,13.03941439,55.6408727
0.1659,38.38649354,12.96563374,55.56710015
0.16595,38.47798647,12.96358428,55.53021388
0.166,38.37995834,12.89185309,55.63472499
0.16605,38.4257048,12.87750685,55.56505091
0.1661,38.37342313,12.90414986,55.63677423
0.16615,38.36688792,12.82831975,55.49947531
0.1662,38.40609917,12.82217136,55.40111191
0.16625,38.40609917,13.07220579,55.30684699
0.1663,38.34728229,12.64181866,55.25561605
0.16635,38.26232457,12.85496276,55.20438511
0.1664,38.30807103,12.8365176,55.12036638
0.16645,38.28846541,12.73609394,55.15520341
0.1665,38.29500062,12.83856706,55.11831714
0.16655,38.25578936,12.89185309,55.07938163
0.1666,38.23618373,12.83446814,55.02610145
0.16665,38.22311332,12.83446814,54.97077204
0.1667,38.20350769,12.83241868,55.03634764
0.16675,38.22311332,12.88365524,55.01995374
0.1668,38.2100429,12.83446814,54.8867533
0.16685,38.20350769,12.85906169,54.80273456
0.1669,38.20350769,12.80782513,54.81298075
0.16695,38.10547955,12.78118211,54.68182955
0.167,38.16429643,12.82627029,54.608057
0.16705,38.15776122,12.73199501,54.66338641
0.1671,38.11201476,12.82831975,54.62240166
0.16715,38.13162039,12.88160578,54.63469709
0.1672,38.15122602,12.84676491,54.54453064
0.16725,38.18390206,12.78323158,54.60395853
0.1673,38.15776122,12.87135846,54.73510973
0.16735,38.1381556,12.94513911,54.59371234
0.1674,38.15122602,12.89390255,54.64699251
0.16745,38.10547955,12.79552835,54.57117073
0.1675,38.14469081,13.15828321,54.40518249
0.16755,38.09894434,12.80167674,54.43182258
0.1676,38.07280351,12.75658856,54.55272759
0.16765,38.09894434,12.76683588,54.71461735
0.1677,38.09240913,12.77913265,54.45436419
0.16775,38.08587392,12.86111115,54.26583434
0.1678,38.05973309,12.81807244,54.19206179
0.16785,38.03359225,12.77708319,54.20025874
0.1679,38.10547955,12.81602298,54.24944044
0.16795,38.04012746,12.81192405,54.23714501
0.168,38.0662683,12.93284234,54.11214153
0.16805,38.05319788,12.97588105,53.96254719
0.1681,38.04012746,12.88365524,53.9686949
0.16815,37.98131058,12.88160578,54.12238771
0.1682,38.04666267,12.95333696,54.30681909
0.16825,38.04666267,12.94718858,54.23304654
0.1683,38.05319788,12.89185309,54.19411103
0.16835,38.0009162,12.90005094,54.14492933
0.1684,38.04666267,12.8857047,54.00558118
0.16845,38.0009162,12.94513911,54.03017203
0.1685,38.08587392,12.93079288,54.17771713
0.16855,37.96170495,12.93284234,53.93385786
0.1686,38.04666267,12.87340793,53.98099033
0.16865,38.02705704,12.89800148,53.99533499
0.1687,38.04666267,12.87135846,54.00967965
0.16875,37.98784579,12.9512875,53.97689185
0.1688,38.04012746,12.91029825,53.9850888
0.16885,37.98784579,12.869309,53.9686949
0.1689,37.97477537,12.85086384,54.00353194
0.16895,37.98131058,12.9021004,53.92566091
0.169,37.96824016,12.81807244,53.97074414
0.16905,38.0009162,12.705352,54.07525525
0.1691,38.02052183,12.70945093,54.13878161
0.16915,37.98131058,12.71764878,53.9195132
0.1692,38.05319788,12.82422083,53.90107006
0.16925,37.98131058,12.84881438,53.88877464
0.1693,38.08587392,12.82422083,53.97279338
0.16935,38.07280351,12.77298426,54.0998461
0.1694,38.02705704,12.69920361,54.09369839
